name,Id,location,score,length,start,end,Floor,Area,ZX,ZY,length
,0,0,,15.67048,-15.67048,15.67048,6,783.524,116.3979632,39.803016,47.01144
,1,132.8899,,15.1876,117.7023,148.0775,4,1139.07,116.3973221,39.80314889,45.5628
,2,277.9,,15.46448,262.43552,293.36448,6,773.224,116.3979839,39.8032939,46.39344
,3,1251.7,,58.69566667,1193.004333,1310.395667,10,1760.87,116.3937172,39.8042677,176.087
,4,1833.8,,2.888453333,1830.911547,1836.688453,2,433.268,116.3934236,39.8048498,8.66536
和义西里海鲜蔬果市场,5,7922.1371,,12.15426667,7909.982833,7934.291367,2,1823.14,116.3940307,39.81093814,36.4628
和义西里建材市场,6,8503.8482,,33.122,8470.7262,8536.9702,3,3312.2,116.3941507,39.81151985,99.366
福源超市,7,8828.0327,,8.507733333,8819.524967,8836.540433,1,2552.32,116.3968548,39.81184403,25.5232
,8,10853.2981,,15.40202,10837.89608,10868.70012,6,770.101,116.3980059,39.8138693,46.20606
,9,11053.899,,20.5812,11033.3178,11074.4802,6,1029.06,116.3971142,39.8140699,61.7436
,10,11389.4751,,15.35786667,11374.11723,11404.83297,4,1151.84,116.3982179,39.81440548,46.0736
,11,11395.2,,20.5438,11374.6562,11415.7438,6,1027.19,116.3970895,39.8144112,61.6314
,12,11749.8215,,17.45608,11732.36542,11767.27758,6,872.804,116.3970478,39.81476582,52.36824
,13,11779.1976,,8.196866667,11771.00073,11787.39447,2,1229.53,116.3995012,39.8147952,24.5906
,14,11847.9,,6.60356,11841.29644,11854.50356,3,660.356,116.3982745,39.8148639,19.81068
,15,12057.4733,,17.11584,12040.35746,12074.58914,6,855.792,116.3969884,39.81507347,51.34752
,16,12093.55,,6.909733333,12086.64027,12100.45973,2,1036.46,116.3994315,39.81510955,20.7292
,17,12120.1199,,12.81915,12107.30075,12132.93905,5,769.149,116.3982756,39.81513612,38.45745
,18,12197.65,,1.95226,12195.69774,12199.60226,2,292.839,116.3963812,39.81521365,5.85678
,19,12277.573,,25.1054,12252.4676,12302.6784,6,1255.27,116.3976604,39.81529357,75.3162
,20,12355.1988,,18.06006,12337.13874,12373.25886,6,903.003,116.3969739,39.8153712,54.18018
,21,12380.5683,,10.211,12370.3573,12390.7793,3,1021.1,116.3994881,39.81539657,30.633
,22,12544.9947,,6.15954,12538.83516,12551.15424,6,307.977,116.3963601,39.81556099,18.47862
,23,12700.9,,6.63044,12694.26956,12707.53044,2,994.566,116.3995786,39.8157169,19.89132
,24,12717.1,,18.01244,12699.08756,12735.11244,6,900.622,116.3969654,39.8157331,54.03732
,25,12949.5209,,63.39266667,12886.12823,13012.91357,5,3803.56,116.39849,39.81596552,190.178
,26,13994.85,,12.501,13982.349,14007.351,2,1875.15,116.3990467,39.81701085,37.503
,27,14441.9,,1.183986667,14440.71601,14443.08399,2,177.598,116.3984975,39.8174579,3.55196
,28,14469.8118,,2.498866667,14467.31293,14472.31067,2,374.83,116.3988096,39.81748581,7.4966
,29,14574.5773,,1.775413333,14572.80189,14576.35271,2,266.312,116.3984404,39.81759058,5.32624
